block,month,production_kg,rev_export,rev_kapi,rev_domestic,rev_totalUSD,personnel_ex770,pool770_share,fertilizer,sarf,gen_710,gen_720,gen_730,gen_750,gen_760,gen_770manual,yonetim770,general_total,expense_total
Kaka-P,04,0,0,0,0,0,0,0,240,0,0,0,0,,0,0,0,0,240
Kaka-P,05,0,0,0,0,0,0,0,320,0,0,0,0,,0,0,0,0,320
Kaka-P,06,0,0,0,0,0,0,0,280,0,0,0,0,,0,0,0,0,280
Kaka-P,07,0,0,0,0,0,0,0,0,30260,0,0,0,,0,0,0,0,30260
Kaka-P,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-P,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-P,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-P,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-P,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M15,01,303024.28,251455,56665.54,181814.57,308120.54,0,0,270,0,0,0,15,,74023.76,0,0,74038.76,74308.76
Kaka-M15,02,354492.93,383572.13,130552.66,212695.76,514124.78,0,0,270,0,0,0,0,,48772.29,0,0,48772.29,49042.29
Kaka-M15,03,445847.77,560493.78,150974.76,267508.66,711468.53,0,0,300,0,0,0,0,,61341.18,0,0,61341.18,61641.18
Kaka-M15,04,782433.52,648527.6,227218.69,469460.11,875746.29,0,0,180,0,0,0,0,,107649.74,0,0,107649.74,107829.74
Kaka-M15,05,924044.39,405898.51,99796.79,1155055.49,505695.31,0,0,240,0,0,0,0,,114185.63,0,0,114185.63,114425.63
Kaka-M15,06,558611.35,172082.01,15976.28,391027.95,188058.3,0,0,210,0,0,0,0,,63007.66,0,0,63007.66,63217.66
Kaka-M15,07,0,0,0,0,0,0,0,0,22695,0,0,0,,0,0,0,0,22695
Kaka-M15,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M15,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M15,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M15,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M15,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M5,01,94651.2,78543.27,17699.77,56790.72,96243.04,0,0,90,0,0,0,5,,23121.7,0,0,23126.7,23216.7
Kaka-M5,02,171273.6,185323.24,63076.64,102764.16,248399.88,0,0,90,0,0,0,0,,23564.38,0,0,23564.38,23654.38
Kaka-M5,03,85636.8,107657.58,28998.68,51382.08,136656.26,0,0,100,0,0,0,0,,11782.19,0,0,11782.19,11882.19
Kaka-M5,04,175780.8,145697.62,51046.74,105468.48,196744.36,0,0,60,0,0,0,0,,24184.49,0,0,24184.49,24244.49
Kaka-M5,05,103665.6,45536.46,11195.88,129582,56732.35,0,0,80,0,0,0,0,,12810.12,0,0,12810.12,12890.12
Kaka-M5,06,22536,6942.29,644.53,15775.2,7586.82,0,0,70,0,0,0,0,,2541.91,0,0,2541.91,2611.91
Kaka-M5,07,0,0,0,0,0,0,0,0,7565,0,0,0,,0,0,0,0,7565
Kaka-M5,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M5,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M5,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M5,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Kaka-M5,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Owadandepe-O,01,458094.93,380135.42,85663.75,274856.96,465799.17,0,0,360,0,0,0,20,,111904.92,0,0,111924.92,112284.92
Owadandepe-O,02,483302.87,522948.4,177990.78,289981.72,700939.18,0,0,360,0,0,0,0,,66494.38,0,0,66494.38,66854.38
Owadandepe-O,03,601961.42,756750.74,203838.58,361176.85,960589.33,0,0,400,0,0,0,0,,82819.81,0,0,82819.81,83219.81
Owadandepe-O,04,810565.01,671844.65,235388.08,486339.01,907232.73,0,0,240,0,0,0,0,,111520.17,0,0,111520.17,111760.17
Owadandepe-O,05,1121847.59,492786.14,121159.54,1402309.49,613945.68,0,0,320,0,0,0,0,,138628.48,0,0,138628.48,138948.48
Owadandepe-O,06,434470.83,133840.13,12425.87,304129.58,146266,0,0,280,0,0,0,0,,49005.43,0,0,49005.43,49285.43
Owadandepe-O,07,0,0,0,0,0,0,0,0,30260,0,0,0,,0,0,0,0,30260
Owadandepe-O,08,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Owadandepe-O,09,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Owadandepe-O,10,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Owadandepe-O,11,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
Owadandepe-O,12,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
